         TOF        Yobs    sYobs        Ycal     YcalBad
    18041.91    29933.00    05045    26027.00    26030.00
    18050.93    23984.00    04769    26041.00    26040.00
    18059.96    29283.00    05026    26055.00    26050.00
    18069.00    32539.00    05182    26068.00    26070.00
    18078.03    31521.00    05147    26082.00    26080.00
    18087.07    24207.00    04817    26096.00    26100.00
    18096.10    25721.00    04899    26109.00    26110.00
    18105.15    30976.00    05143    26123.00    26120.00
    18114.20    22970.00    04786    26136.00    26140.00
    18123.25    29492.00    05095    26149.00    26150.00
    18132.32    29508.00    05105    26162.00    26160.00
    18141.38    20759.00    04698    26175.00    26180.00
    18150.46    27235.00    05012    26188.00    26190.00
    18159.54    31654.00    05232    26201.00    26200.00
    18168.62    28726.00    05100    26213.00    26210.00
    18177.71    31489.00    05245    26226.00    26230.00
    18186.79    29198.00    05142    26238.00    26240.00
    18195.88    26200.00    05012    26251.00    26420.00
    18204.98    28840.00    05145    26263.00    26450.00
    18214.08    27369.00    05086    26275.00    26480.00
    18223.19    24931.00    04973    26287.00    26510.00
    18232.30    22848.00    04890    26299.00    26540.00
    18241.41    28309.00    05151    26311.00    26580.00
    18250.54    25307.00    05020    26322.00    26620.00
    18259.66    21744.00    04856    26334.00    26660.00
    18268.79    23360.00    04946    26345.00    26710.00
    18277.93    24365.00    04996    26357.00    26770.00
    18287.07    23397.00    04967    26368.00    26840.00
    18296.22    23190.00    04959    26379.00    26950.00
    18305.36    28912.00    05250    26390.00    27100.00
    18314.50    24136.00    05025    26608.00    27380.00
    18323.66    22669.00    04963    26636.00    27920.00
    18332.83    28533.00    05246    26665.00    29070.00
    18342.00    32206.00    05433    26697.00    31540.00
    18351.18    26661.00    05178    26732.00    36780.00
    18360.35    25498.00    05142    26770.00    47340.00
    18369.52    17116.00    04724    26812.00    67010.00
    18378.71    21887.00    04977    26860.00   100300.00
    18387.90    28610.00    05311    26915.00   150340.00
    18397.09    26520.00    05223    26980.00   215850.00
    18406.29    29997.00    05388    27060.00   288870.00
    18415.49    25966.00    05218    27167.00   354750.00
    18424.70    22351.00    05043    27326.00   397310.00
    18433.91    31080.00    05469    27593.00   405890.00
    18443.13    34900.00    05652    28099.00   380250.00
    18452.35    31330.00    05502    29143.00   330000.00
    18461.59    24352.00    05175    31376.00   268950.00
    18470.82    34676.00    05675    36101.00   209490.00
    18480.05    33829.00    05638    45654.00   159000.00
    18489.29    44533.00    06121    63615.00   119890.00
    18498.52    74937.00    07278    94354.00    91330.00
    18507.77   133788.00    09126   141418.00    71180.00
    18517.04   209145.00    11045   204635.00    57230.00
    18526.30   290103.00    12838   277175.00    47670.00
    18535.56   369576.00    14359   345655.00    41140.00
    18544.83   415019.00    15212   393863.00    36670.00
    18554.09   414578.00    15199   409668.00    33620.00
    18563.37   381119.00    14629   390629.00    31530.00
    18572.65   338885.00    13869   344473.00    30100.00
    18581.93   296538.00    13057   284582.00    29110.00
    18591.23   242320.00    11912   223748.00    28430.00
    18600.52   174154.00    10336   170622.00    27960.00
    18609.82   137004.00    09342   128652.00    27640.00
    18619.13    97450.00    08171    97581.00    27420.00
    18628.44    82877.00    07701    75549.00    27260.00
    18637.75    70974.00    07297    60274.00    27150.00
    18647.08    53141.00    06622    49781.00    27070.00
    18656.40    43154.00    06235    42615.00    27010.00
    18665.73    32652.00    05775    37725.00    26970.00
    18675.07    32625.00    05784    34379.00    26940.00
    18684.41    33575.00    05839    32092.00    26920.00
    18693.75    35123.00    05920    30525.00    26910.00
    18703.09    30588.00    05723    29449.00    26890.00
    18712.43    23538.00    05396    28707.00    26740.00
    18721.79    16850.00    05056    28193.00    26750.00
    18731.16    25493.00    05504    27836.00    26750.00
    18740.53    26243.00    05551    27586.00    26750.00
    18749.91    30279.00    05754    27410.00    26760.00
    18759.28    32093.00    05850    27285.00    26760.00
    18768.65    26106.00    05578    27195.00    26770.00
    18778.04    30750.00    05800    27130.00    26770.00
    18787.42    30324.00    05801    27082.00    26770.00
    18796.81    27823.00    05685    27046.00    26780.00
    18806.21    25529.00    05585    27018.00    26780.00
    18815.62    26942.00    05665    26997.00    26790.00
    18825.02    28642.00    05757    26980.00    26790.00
    18834.44    26270.00    05646    26791.00    26790.00
    18843.85    22049.00    05457    26794.00    26790.00
    18853.27    20049.00    05358    26797.00    26800.00
    18862.70    20898.00    05413    26799.00    26800.00
    18872.14    31507.00    05941    26801.00    26800.00
    18881.57    23377.00    05560    26804.00    26800.00
    18891.00    32405.00    06005    26806.00    26810.00
    18900.45    24506.00    05630    26808.00    26810.00
    18909.91    37462.00    06248    26809.00    26810.00
    18919.36    22360.00    05555    26811.00    26810.00
    18928.81    21811.00    05530    26812.00    26810.00
    18938.28    29534.00    05919    26813.00    26810.00
    18947.75    24800.00    05693    26814.00    26810.00
    18957.23    21571.00    05552    26815.00    26820.00
    18966.71    35937.00    06242    26816.00    26820.00
    18976.19    26208.00    05806    26817.00    26820.00
    18985.67    19929.00    05494    26817.00    26820.00
    18995.16    26780.00    05848    26817.00    26820.00
