         TOF        Yobs    sYobs        Ycal     YcalBad
    14122.36    22198.00    02232    20404.00    20400.00
    14129.42    21203.00    02193    20405.00    20400.00
    14136.48    22250.00    02241    20405.00    20410.00
    14143.54    21511.00    02212    20406.00    20410.00
    14150.61    20587.00    02180    20406.00    20410.00
    14157.69    19557.00    02143    20407.00    20410.00
    14164.76    18712.00    02112    20407.00    20410.00
    14171.85    19958.00    02161    20408.00    20410.00
    14178.94    19082.00    02134    20408.00    20410.00
    14186.03    17823.00    02082    20409.00    20410.00
    14193.12    19663.00    02164    20410.00    20410.00
    14200.21    21751.00    02244    20410.00    20410.00
    14207.32    18966.00    02139    20411.00    20410.00
    14214.42    17264.00    02072    20412.00    20410.00
    14221.53    20136.00    02192    20413.00    20410.00
    14228.63    18774.00    02141    20413.00    20410.00
    14235.75    21134.00    02233    20414.00    20410.00
    14242.87    19067.00    02160    20415.00    20410.00
    14249.99    19477.00    02175    20416.00    20420.00
    14257.12    19081.00    02167    20417.00    20420.00
    14264.24    16933.00    02078    20417.00    20420.00
    14271.37    19833.00    02200    20418.00    20420.00
    14278.51    21616.00    02273    20419.00    20420.00
    14285.64    20774.00    02244    20420.00    20420.00
    14292.80    23428.00    02344    20421.00    20420.00
    14299.95    20946.00    02258    20422.00    20420.00
    14307.10    20983.00    02258    20423.00    20420.00
    14314.25    16417.00    02079    20424.00    20420.00
    14321.40    17940.00    02142    20425.00    20430.00
    14328.57    18392.00    02164    20426.00    20430.00
    14335.74    20283.00    02244    20428.00    20430.00
    14342.90    20347.00    02251    20429.00    20430.00
    14350.07    19535.00    02221    20430.00    20430.00
    14357.25    18911.00    02195    20431.00    20430.00
    14364.43    18525.00    02187    20432.00    20430.00
    14371.61    20544.00    02267    20434.00    20430.00
    14378.80    16860.00    02124    20435.00    20430.00
    14385.98    21485.00    02312    20436.00    20440.00
    14393.17    18360.00    02190    20438.00    20440.00
    14400.37    20454.00    02278    20439.00    20440.00
    14407.57    21501.00    02323    20440.00    20440.00
    14414.77    21227.00    02316    20442.00    20440.00
    14421.98    17596.00    02167    20443.00    20440.00
    14429.19    18544.00    02215    20445.00    20440.00
    14436.40    20795.00    02304    20446.00    20450.00
    14443.63    19788.00    02268    20448.00    20450.00
    14450.86    17563.00    02179    20450.00    20450.00
    14458.07    17173.00    02171    20451.00    20450.00
    14465.30    19432.00    02259    20453.00    20450.00
    14472.54    19173.00    02256    20455.00    20450.00
    14479.77    18788.00    02244    20457.00    20460.00
    14487.02    23954.00    02447    20458.00    20460.00
    14494.26    22882.00    02414    20460.00    20460.00
    14501.50    15294.00    02100    20462.00    20460.00
    14508.76    17516.00    02200    20464.00    20460.00
    14516.02    19495.00    02285    20466.00    20470.00
    14523.28    21377.00    02364    20468.00    20470.00
    14530.54    20651.00    02339    20470.00    20470.00
    14537.79    21579.00    02379    20472.00    20470.00
    14545.05    20125.00    02324    20474.00    20470.00
    14552.33    18222.00    02245    20476.00    20480.00
    14559.62    19757.00    02312    20478.00    20480.00
    14566.89    22679.00    02437    20480.00    20480.00
    14574.16    18806.00    02279    20483.00    20480.00
    14581.45    22724.00    02440    20485.00    20480.00
    14588.74    21491.00    02395    20487.00    20490.00
    14596.05    20238.00    02344    20490.00    20490.00
    14603.35    21488.00    02402    20492.00    20490.00
    14610.64    19340.00    02318    20494.00    20490.00
    14617.94    21158.00    02391    20497.00    20500.00
    14625.26    20791.00    02379    20499.00    20500.00
    14632.58    17221.00    02234    20502.00    20500.00
    14639.89    21694.00    02428    20505.00    20500.00
    14647.21    21116.00    02398    20507.00    20510.00
